国家（中文）,国家（英文）,公司名称,@type,foundingDate,numberOfEmployees,name,description,json_url
埃及,Egypt,AG Chem BTTRIGAS,Organization,1993.0,,AG Chem BTTRIGAS,AG Chem  is one of pioneering companies in the field of refrigerant gases & Lubricants in Middle East markets. We are a sole agent for “HONEYWELL  and “SRF .  AG Chem has its own plant in Badr City- Cairo for blending & packing all types of refrigerant gases according to International standards of “HONEYWELL .  That’s why our suppliers give us the right to use their names in the field of refrigerant gases & Lubricants.,www.agchem.net
埃及,Egypt,AL Jusor Al Arabia Company,Organization,2014.0,11-50,AL Jusor Al Arabia Company,Al Jusor Al- Arabia Company Is on of the leading Suppliers & Stockiest of piping bulk material in Egypt.   We supply to Oil & Gas  Petrochemical  Power and Desalination  Civil Construction  Ship Building  Marine and associated industries.  Our products include: Steel Pipes - Seamless Steel Pipes  ERW pipes  SSAW  LSAW. Fittings - butt Weld  Malleable Iron. Valves - gate  globe  plug  ball  butterfly  check. Flanges - SO  Weld Neck  blind flange  ,www.al-jusor.com
埃及,Egypt,AMAK Petroleum,Organization,1998.0,501-1000,AMAK Petroleum,AMAK is a Holding Petroleum service company with head office in Egypt and has branches in Syria & Libya AMAK is an organization working in the field of drilling and petroleum services.  Drilling & Workover   Through Amak’s partnership with the Egyptian Chinese Drilling Company (ECDC)  and its outstanding contributions to drilling services in Eastern desert  Sinai  Western desert and Delta in Egypt since 1998  Amak managed to carve a niche for itself among the pioneer drilling contractors working in oil well drilling and workover.  Petroleum Service  Through a partnership in with Accurate Petroleum Services Company (APETCO)  Amak has managed to enter the promising Libyan market  and will prove itself to be the up and coming top performer in the field of petroleum services. The services include Coiled Tubing  Well Testing  Wire Line Logging  Perforation & Pumping services Marine Services ADES is a joint-stock free zone Investment company established in Cairo in 2002  Egypt as a subsidiary of INTRO holding group.ADES was established with focus on the marine services and rigless work over operation  Platform maintenance  offshore project and marine vessel operation. ADES own Mobile offshore unit classified by the ABS as self elevated jack up unit with self propulsion assistant system. Airborne Geophysics,www.itrogroup.org
埃及,Egypt,APEX Petroleum Services,Organization,1999.0,,APEX Petroleum Services,APEX Petroleum Services  with its bases in Egypt and UAE  is dedicated to be a trusted industrial supplier. We have been serving operators in Egypt and MENA region since 1999. We’ve succeeded to be one of the leading distributors  stockiest and suppliers of Drilling Equipment  Professional Tools  Machinery  instrumentation  spare parts and consumables for Oil & Gas  Refineries  Petrochemical  Mining and Process industry. We are proud of being agents  authorized distributors and stock house for provision and service of the following products presenting worldwide manufacturers:,www.apex.me
埃及,Egypt,ASORC - Assiut Oil Refining Company,Organization,1987.0,1001-5000,ASORC - Assiut Oil Refining Company,Assiut Oil Refining (ASORC) is one of the national companies located in Upper Egypt  subsidiary of Egyptian General Petroleum Corporation (EGPC) and it had been established in 1987. ASORC provides a major share of neighboring provinces’ demand for petroleum products by refining 91 000 barrels of crude oil per day to meet the region’s needs for petroleum products such Gasoline  Kerosene  Gasoil  Fuel Oil and LPG . Currently  ASORC is carrying out several major projects that aim to upgrade its refining capabilities  which will result in the addition of a new Naphtha complex (including a Naphtha Hydrotreater Unit (NHT)  a CCR Reforming unit and an Isomerization Unit) with a capacity of 660 KTPY of straight run Naphtha that will provide high octane and different grades of gasoline.  The Company’s vision was stimulating development and providing an exemplary experience in oil refining.,
埃及,Egypt,AYAD SONS COMPANY,Organization,,1-10,AYAD SONS COMPANY,,www.ayadsons.net
埃及,Egypt,Abu Qir Petroleum,Organization,2009.0,501-1000,Abu Qir Petroleum,Gas production company,
埃及,Egypt,Adriatic Engineering Solutions (AES),Organization,2016.0,,Adriatic Engineering Solutions (AES),ADRIATIC is providing outstanding and innovative oilfield specialized services which are not limited to the following   1. Lifting Gear Supplies and Sling manufacturing 2. Asset Integrity Management Services  3. Rig Inspection Services and Rig Audits 4. Lifting Operations Management Services 5. Rope Access Services 6. Oilfield Tools Supply 7. HSE Consultation Services,
埃及,Egypt,Ajyad,Organization,2001.0,11-50,Ajyad,With solid determination to become the leading piping system supplier in the regional market  the visionary Ajyad was founded in 2001. Ajyad has been providing their partners with innovative solutions for pipeline-related services  proven safety  high-end world-class quality  and competitive prices. Ajyad specializes in the trading of a wide spectrum of pipes and fitting systems.,
埃及,Egypt,Al-Ajman Oilfield Services,Organization,,,Al-Ajman Oilfield Services,AOS is one of the largest oilfield services companies providing innovative solutions  technology and services . ,www.al-ajman.com
埃及,Egypt,Al-Basmalah for Trading & Contracting,Organization,,1-10,Al-Basmalah for Trading & Contracting,Al-Basmalah for Trading &amp  Contracting is an Oil and Energy company located in 11 Osman Towers  Cairo  Cairo  Egypt.,
埃及,Egypt,Alalamia Oil Services & Training Co,Organization,2006.0,,Alalamia Oil Services & Training Co,Alalamia Oil Services & Training Company is a privately-owned oilfield service company established in Cairo  Egypt in 2006. Over the years  it has steadily grown its equipment’s & ability to provide the latest technologies  for both Onshore & Offshore operations.,
埃及,Egypt,Alamein Petroleum Company (Vegas Oil&Gas),Organization,1960.0,,Alamein Petroleum Company (Vegas Oil&Gas),Alamein Petroleum Company,
埃及,Egypt,Alexandria Co. for Petroleum Additives (ACPA),Organization,1999.0,,Alexandria Co. for Petroleum Additives (ACPA),Alexandria Company for Petroleum Additives (ACPA) is an Egyptian Joint Stock Company that offers abroad range of products and services to the oil and gas industry ACPA products include petroleum additives and chemicals needed either for improving oil or lubricants performance or their usage in the production  transfer and refining processes. ACPA is obligated to produce compatible products  with the international specifications  along with their local availability in competitive prices.Thereby  ACPA will achieve a growth in the national economy.,
